timestamp,cpu_usage,memory_usage,uptime
2025-05-04 08:39:48,12.50,28.92,123456s
2025-05-04 08:39:53,12.50,29.01,123456s
2025-05-04 08:39:58,12.50,28.99,123456s
2025-05-04 08:40:03,12.50,28.95,123456s
2025-05-04 08:40:08,12.50,28.92,123456s
2025-05-04 08:40:13,12.50,28.92,123456s
2025-05-04 08:40:18,12.50,28.96,123456s
2025-05-04 08:40:23,12.50,28.86,123456s
2025-05-04 08:40:28,12.50,28.86,123456s
2025-05-04 08:40:33,12.50,28.84,123456s
2025-05-04 08:40:38,12.50,28.83,123456s
2025-05-04 08:40:43,12.50,28.89,123456s
2025-05-04 08:40:48,12.50,28.94,123456s
2025-05-04 08:40:53,12.50,28.99,123456s
2025-05-04 08:40:58,12.50,28.96,123456s
2025-05-04 08:41:03,12.50,28.94,123456s
2025-05-04 08:41:08,12.50,28.90,123456s
2025-05-04 08:41:13,12.50,28.88,123456s
2025-05-04 08:41:18,12.50,28.91,123456s
2025-05-04 08:41:23,12.50,28.81,123456s
2025-05-04 08:41:28,12.50,28.83,123456s
2025-05-04 08:41:33,12.50,28.82,123456s
2025-05-04 08:41:38,12.50,28.80,123456s
2025-05-04 08:41:43,12.50,28.84,123456s
2025-05-04 08:41:48,12.50,28.86,123456s
2025-05-04 08:41:53,12.50,28.95,123456s
2025-05-04 08:41:58,12.50,28.94,123456s
2025-05-04 08:42:03,12.50,28.93,123456s
2025-05-04 08:42:08,12.50,28.93,123456s
2025-05-04 08:42:13,12.50,28.92,123456s
2025-05-04 08:42:18,12.50,28.91,123456s
2025-05-04 08:42:23,12.50,28.86,123456s
2025-05-04 08:42:28,12.50,28.89,123456s
2025-05-04 08:42:33,12.50,28.87,123456s
2025-05-04 08:42:38,12.50,28.87,123456s
2025-05-04 08:42:43,12.50,28.89,123456s
2025-05-04 08:42:48,12.50,28.87,123456s
2025-05-04 08:42:53,12.50,28.93,123456s
2025-05-04 08:42:58,12.50,28.96,123456s
2025-05-04 08:43:03,12.50,28.91,123456s
2025-05-04 08:43:08,12.50,28.90,123456s
2025-05-04 08:43:13,12.50,28.90,123456s
2025-05-04 08:43:18,12.50,28.87,123456s
2025-05-04 08:43:23,12.50,28.79,123456s
2025-05-04 08:43:28,12.50,28.86,123456s
2025-05-04 08:43:33,12.50,29.29,123456s
2025-05-04 08:43:38,12.50,29.36,123456s
2025-05-04 08:43:43,12.50,29.25,123456s
2025-05-04 08:43:48,12.50,29.14,123456s
2025-05-04 08:43:53,12.50,29.08,123456s
2025-05-04 08:43:58,12.50,29.11,123456s
2025-05-04 08:44:03,12.50,29.06,123456s
2025-05-04 08:44:08,12.50,29.04,123456s
